Administrative_Duration,Informational_Duration,ProductRelated,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,1,0.016666667,0.058333333,0,0,3,2,4,1,0,0,0
0,0,1,0.2,0.2,0,0.8,2,2,2,1,0,1,0
0,0,1,0.2,0.2,0,0,1,1,1,3,0,0,0
0,0,1,0.057142857,0.085714286,0,0,2,2,2,1,0,0,0
0,0,1,0,0.066666667,0,0,1,1,1,3,0,0,0
0,0,1,0.028571429,0.023809524,0,0.4,4,1,3,3,0,0,0
0,0,1,0,0.007894737,0,0,1,1,4,2,0,0,0
36,0,1,0,0.011764706,0,0.4,1,1,1,3,0,0,0
0,0,1,0.2,0.2,0,0,1,1,1,2,0,1,0
0,0,1,0,0.1,0,0,1,1,1,3,0,0,0
0,0,1,0,0.015384615,0,0,2,2,1,5,1,0,0
0,0,1,0.003703704,0.025925926,0,0.6,4,1,3,3,0,0,0
0,0,1,0,0.1,0,0.2,1,1,1,3,0,0,0
0,0,1,0.05,0.066666667,0,0.2,1,1,1,3,0,0,0
0,0,1,0,0.025,0,0.6,1,1,1,4,0,0,0
0,0,1,0.038095238,0.080952381,0,0.6,2,4,1,7,0,0,0
0,0,1,0.004166667,0.031666667,0,0,3,2,3,4,0,0,0
18.33333333,0,1,0,0.008947368,0,0.4,2,4,1,2,0,0,0
61,0,1,0,0.026984127,17.53595893,1,1,1,7,4,0,1,1
0,0,1,0,0.033333333,0,0.4,1,1,3,2,0,0,0
31,16,1,0,0.01351025,0,0.8,2,2,4,3,0,0,0
58.5,0,1,0.007058824,0.017647059,0,0,1,1,3,4,0,0,0
0,0,1,0.15,0.15,0,0,1,1,7,2,0,0,0
0,0,1,0.044444444,0.074074074,0,0.8,4,1,1,3,0,0,0
0,0,1,0.05,0.066666667,0,0,1,1,1,3,0,0,0
0,0,1,0.05,0.066666667,0,0.8,3,3,1,3,0,0,0
326.25,94,1,0.000854701,0.01791847,0,0,2,5,1,3,0,0,0
0,0,1,0,0.016666667,0,0.6,2,2,3,3,0,0,0
0,0,1,0.2,0.2,0,0.4,2,2,1,3,0,0,0
0,0,1,0.2,0.2,0,0.8,1,1,2,3,0,0,0
22,0,1,0.008,0.024,0,0.2,2,4,1,1,0,0,0
0,93,1,0.012903226,0.035483871,0,0.2,1,1,1,3,0,0,0
0,0,1,0,0.005555556,0,0,1,1,1,4,0,1,0
0,0,1,0,0.012962963,0,0.8,3,2,1,3,0,0,0
0,0,1,0.018181818,0.027272727,0,0.2,2,2,3,1,0,0,0
0,0,1,0,0.075,0,0,4,1,3,3,0,0,0
0,0,1,0,0.111111111,0,0,2,4,9,3,0,0,0
0,0,1,0,0.033333333,0,0,2,4,4,1,0,0,0
0,0,1,0,0.05,0,0.6,2,2,1,2,0,0,0
0,75,1,0,0.034375,0,0.8,1,1,3,3,0,0,0
0,0,1,0,0.066666667,0,0,1,1,3,3,0,0,0
0,0,1,0.028,0.11952381,0,0,2,4,3,1,0,0,0
0,0,1,0.2,0.2,0,0,1,1,3,3,0,0,0
0,0,1,0,0.040740741,0,0.4,2,2,1,3,0,0,0
0,0,1,0,0.05,0,0.4,1,1,8,3,0,0,0
462,0,1,0,0.00754717,0,0.6,2,2,9,3,0,0,0
0,0,1,0.133333333,0.166666667,0,0,2,4,1,1,0,0,0
0,0,1,0,0.1,0,0,2,6,1,2,0,1,0
20,0,1,0,0.022222222,0,0,2,2,1,6,0,0,0
0,0,1,0.2,0.2,0,0,3,2,3,3,0,0,0
0,0,1,0,0.011111111,0,0.8,2,2,4,3,0,0,0
111.5,0,1,0,0.018518519,0,0.6,1,1,3,3,0,0,0
0,0,1,0,0.033333333,0,0,3,2,4,2,0,0,0
0,0,1,0.005555556,0.046296296,0,0,2,4,5,2,0,0,0
0,0,1,0,0.066666667,0,0,2,4,1,5,0,0,0
0,0,1,0.05,0.15,0,0.4,2,2,1,4,0,0,0
103.625,0,1,0,0.018039216,0,0.2,1,1,3,3,0,0,0
0,0,1,0.2,0.2,0,0,2,2,7,3,0,0,0
0,0,1,0,0.011851852,0,0.2,1,1,6,3,0,0,0
19,0,1,0,0.007407407,0,0,2,4,2,3,0,0,0
0,0,1,0.2,0.2,0,0,2,2,2,3,0,0,0
0,19,1,0,0.009090909,0,0,2,2,3,6,0,0,0
0,0,1,0.066666667,0.066666667,0,0.4,2,4,1,3,0,0,0
0,0,1,0,0.033333333,0,0,2,2,1,1,0,0,0
0,0,1,0,0.05,0,0,2,2,3,3,0,0,0
0,0,1,0.007142857,0.030357143,0,0,1,1,4,3,0,0,0
0,0,1,0,0.027272727,0,0.8,2,2,2,1,0,0,0
0,0,1,0.0075,0.028166667,0,0,1,2,1,1,0,0,0
0,0,1,0.2,0.2,0,0.4,2,2,3,4,0,0,0
0,0,1,0.1,0.15,0,0,2,5,5,1,0,0,0
0,0,1,0,0.026315789,0,0.2,2,2,3,3,0,0,0
0,0,1,0,0.026666667,0,0,2,6,1,1,0,0,0
0,0,1,0.033333333,0.04993081,0,0,3,2,2,1,0,1,0
0,0,1,0.2,0.2,0,0,3,3,3,2,0,1,0
0,0,1,0,0.033333333,0,0.8,1,1,1,3,0,1,0
0,0,1,0.2,0.2,0,0,1,1,1,3,0,0,0
0,0,1,0.2,0.2,0,0,3,2,3,3,0,0,0
0,0,1,0.008695652,0.01884058,0,0.6,1,1,4,2,0,0,0
58,22,1,0.03030303,0.040606061,0,0,1,1,1,1,0,1,0
9.5,0,1,0.015217391,0.012463768,0,0,1,1,1,2,0,1,0
0,0,1,0,0.016666667,0,0.4,1,1,3,3,0,0,0
0,0,1,0.008695652,0.011594203,0,0.6,2,2,1,3,0,0,0
0,0,1,0,0.033333333,0,0,1,1,3,2,0,0,0
0,0,1,0,0.04,0,0,2,2,1,3,0,0,0
0,0,1,0.086666667,0.166666667,0,0,2,2,1,3,0,0,0
0,0,1,0.018181818,0.063636364,0,0,2,4,6,1,0,0,0
0,0,1,0,0.0145,0,0.8,3,2,7,4,0,1,0
0,0,1,0,0.019166667,0,0.8,1,1,2,4,0,1,0
0,0,1,0.011111111,0.033333333,0,0,2,4,1,3,0,0,0
0,0,1,0.066666667,0.1,0,0.6,1,1,1,3,0,0,0
0,0,1,0.2,0.2,0,0.8,1,1,1,2,0,1,0
41.3,0,1,0,0.008602151,0,1,2,2,8,1,0,1,0
87,0,1,0,0.015384615,0,0,1,1,2,3,0,0,0
0,0,1,0,0.014285714,0,0,1,1,6,2,0,0,0
0,0,1,0.010743802,0.047002635,0,0,1,1,1,4,0,0,0
0,0,1,0.2,0.2,0,0,3,2,3,3,0,0,0
0,0,1,0.033333333,0.033333333,0,0.6,1,1,6,2,0,0,0
0,0,1,0,0.011764706,0,0,3,2,6,2,0,1,0
0,0,1,0.2,0.2,0,0.6,4,2,1,3,0,0,0
0,0,1,0.2,0.2,0,0,2,4,1,1,0,0,0
0,0,1,0.008333333,0.025,0,0.8,3,2,1,3,0,1,0
0,1210.397619,1,0.003174603,0.012764202,0,0,2,2,1,8,0,0,0
0,0,1,0.011111111,0.027248677,8.000740741,0,1,1,3,1,0,0,0
9,0,1,0,0.006339869,0,0,2,2,3,2,0,0,0
293.7782051,153,1,0.001960784,0.013509414,0,0,3,2,6,2,0,1,0
111.5,48.5,1,0,0.020708874,1.706014966,0,2,2,7,2,0,0,1
47,51,1,0.007142857,0.016727891,46.53017511,0,2,2,1,1,0,0,0
0,0,1,0.2,0.2,0,0,1,1,1,3,0,0,0
1226,3,1,0.036190476,0.096,0,0,2,2,1,2,0,0,0
52,0,1,0,0.02,0,0,1,1,1,1,0,0,0
0,0,1,0,0.066666667,0,0,2,2,3,1,0,0,0
0,0,1,0.009090909,0.057662338,0,0,1,1,7,2,0,1,0
0,0,1,0.002061856,0.010173465,0,0,1,1,1,3,0,0,0
56,144,1,0,0.005797101,19.34265017,0,2,2,4,2,1,0,1
112.9607843,0,1,0.013068182,0.06140625,0,0,2,2,1,2,0,0,0
0,0,1,0,0.001666667,109.176,0,2,2,9,2,1,0,1
94,125,1,0,0.001724138,96.25511582,0,2,4,1,2,1,1,1
32,0,1,0,0.004,153.4432478,0,2,2,7,8,0,1,1
0,0,1,0,0.04,0,0,1,1,1,9,0,1,0
218,0,1,0,0.004166667,0,0,1,1,1,2,1,0,0
0,0,1,0,0.088888889,0,0,1,2,1,8,0,0,0
119,0,1,0,0.008333333,0,0,3,2,1,10,0,0,0
281,0,1,0,0.005263158,0,0,2,2,5,2,1,0,0
18,0,1,0,0.0125,33.79956701,0,2,5,2,3,1,0,1
40,0,1,0,0.028571429,0,0,2,2,7,2,1,1,0
107,0,1,0,0.016666667,0,0,3,2,7,1,1,0,0
0,0,1,0,0.04375,0,0,2,4,1,3,0,0,0
49,127,1,0.033333333,0.0375,0,0,3,2,3,2,0,0,0
0,0,1,0.037619048,0.04952381,0,0,2,6,3,1,0,0,0
0,0,1,0,0.05,0,0,3,2,8,11,0,0,0
57,0,1,0.006666667,0.033333333,0,0,1,2,6,6,0,1,0
2,261,1,0,0.042857143,0,0,2,2,1,2,0,0,0
123,306.3333333,1,0,0.02,0,0,2,2,4,1,0,0,0
118,0,1,0,0.066666667,0,0,1,2,7,3,0,0,0
0,0,1,0.005714286,0.028571429,0,0,2,4,2,2,0,0,0
0,0,1,0.016666667,0.075,0,0,2,2,3,2,0,0,0
0,0,1,0,0.066666667,0,0,2,4,3,12,0,0,0
38,0,1,0,0.013333333,35.0928,0,2,2,5,1,0,0,1
0,0,1,0.08,0.12,0,0,2,2,1,1,0,0,0
0,0,1,0.1,0.15,0,0,3,2,1,1,0,0,0
54,0,1,0,0.02,0,0,2,2,1,8,1,0,0
993,0,1,0.001481481,0.009150327,0,0,3,2,4,2,0,0,0
0,0,1,0,0.1,0,0,2,2,3,11,0,1,0
74.25,84,1,0,0.006578947,0,0,2,2,4,1,0,0,0
0,0,1,0,0.022222222,0,0,2,2,1,3,0,0,0
0,0,1,0,0.013333333,17.76266667,0,2,2,1,1,0,0,1
0,0,1,0.010526316,0.021052632,0,0,2,2,1,3,0,0,0
32,0,1,0.004,0.020666667,7.146260888,0,2,2,7,9,0,1,0
666.8333333,0,1,0,0.014666667,0,0,2,2,3,2,0,0,0
0,0,1,0.011111111,0.033333333,0,0,4,1,1,3,0,1,0
73,740,1,0,0.019230769,22.03276923,0,2,2,3,2,0,1,0
154,0,1,0.005263158,0.044210526,0,0,3,2,2,1,0,1,0
49.33333333,303.25,1,0,0.014081633,0,0,3,2,2,2,0,0,0
118.5,0,1,0.006896552,0.010600255,0,0,3,2,1,8,0,1,0
153.5,0,1,0.011578947,0.032225685,0,0,2,6,1,1,0,1,0
0,0,1,0,0.011111111,0,0,3,2,2,3,0,1,0
0,0,1,0,0.04,0,0,2,2,4,3,0,0,0
72.25,21.5,1,0.022807018,0.036550087,0,0,2,2,2,2,0,0,0
24.5,0,1,0.018181818,0.031818182,0,0,2,5,1,3,0,0,0
0,0,1,0.023529412,0.046470588,0,0,2,2,8,1,0,0,0
0,1220,1,0.016666667,0.030833333,0,0,2,2,1,3,0,1,0
0,0,1,0,0.00952381,0,0,2,10,1,2,0,0,0
0,0,1,0,0.019354839,0,0,4,1,1,3,0,0,0
0,0,1,0.015384615,0.041025641,0,0,2,2,8,1,0,0,0
22,0,1,0.033333333,0.048148148,0,0,3,3,1,1,0,0,0
155.6313131,0,1,0.005,0.01805276,4.368515556,0,2,2,3,2,0,0,1
21.33333333,235,1,0.012676056,0.015201207,0,0,3,2,2,1,0,1,0
191,100,1,0.007246377,0.022253906,0,0,3,2,9,3,0,1,0
0,0,1,0,0.05,0,0,2,5,1,1,0,0,0
0,0,1,0.2,0.2,0,0,1,1,1,1,0,0,0
0,0,1,0.08,0.12,0,0,2,5,2,1,0,0,0
0,0,1,0,0.1,0,0,2,2,5,1,0,1,0
96.5,0,1,0.01,0.025666667,0,0,1,1,1,1,0,0,0
13,0,1,0,0.05,0,0,3,2,3,2,0,0,0
1388.75,0,1,0,0.02,0,0,1,1,7,8,0,0,0
0,0,1,0,0.01037037,0,0,1,1,3,1,0,0,0
0,0,1,0,0.033333333,0,0,2,2,1,8,1,0,0
51,0,1,0.015555556,0.033862434,0,0,7,1,6,1,0,1,0
0,0,1,0.2,0.2,0,0,3,3,5,2,0,0,0
158,64,1,0.006451613,0.018709677,8.772473118,0,2,2,3,2,0,1,1
0,0,1,0,0.066666667,0,0,2,2,1,1,0,0,0
0,0,1,0,0.02,0,0,2,2,7,2,0,0,0
0,0,1,0,0.003329865,51.46331148,0,2,5,3,1,0,1,1
0,0,1,0,0.011666667,0,0,1,8,7,2,0,0,0
0,0,1,0,0.04,0,0,2,2,1,10,0,0,0
0,0,1,0,0.033846154,0,0,2,4,1,1,0,0,0
0,0,1,0,0.016666667,0,0,1,1,1,3,0,1,0
10,0,1,0.035714286,0.053571429,0,0,3,2,1,1,0,1,0
0,0,1,0.2,0.2,0,0,2,5,1,1,0,0,0
28,47,1,0,0.014285714,0,0,1,1,1,8,1,0,0
27,0,1,0,0.004545455,0,0,2,5,3,3,0,0,0
0,0,1,0.02,0.013333333,0,0,1,1,2,9,0,1,0
0,0,1,0,0.05,0,0,2,5,6,1,0,0,0
15,0,1,0,0.016666667,38.99,0,1,1,1,3,0,1,1
0,0,1,0.016666667,0.05,0,0,4,2,9,1,0,0,0
0,0,1,0,0.025,0,0,2,2,2,2,0,0,0
0,0,1,0.014583333,0.039583333,0,0,2,2,3,1,0,0,0
0,0,1,0,0.033333333,0,0,2,2,1,3,0,1,0
0,0,1,0,0.02,53.9892,0,2,2,1,11,0,1,1
1249.809524,205,1,0.010638298,0.026186255,6.831792392,0,3,2,2,3,0,0,0
0,0,1,0,0.044444444,0,0,2,2,4,3,0,0,0
390,0,1,0.02,0.05,0,0,3,9,9,2,0,0,0
0,0,1,0,0.038095238,0,0,2,2,2,1,0,0,0
0,0,1,0.2,0.2,0,0,2,2,1,1,0,0,0
0,0,1,0.011428571,0.024761905,0,0,2,2,1,1,0,0,0
215.5238095,70,1,0.002150538,0.007722385,0,0,2,2,5,1,0,0,0
0,0,1,0,0.05,0,0,1,1,1,10,0,0,0
11,0,1,0.010588235,0.022643039,0,0,3,2,6,3,0,0,0
20,0,1,0,0.011111111,0,0,2,2,3,6,0,0,0
0,0,1,0.0135,0.03747619,0,0,3,2,2,1,0,0,0
0,0,1,0.2,0.2,0,0,1,1,1,1,0,1,0
8,14.33333333,1,0,0.0125,44.67925,0,2,2,1,7,0,0,1
0,0,1,0,0.014285714,59.79014286,0,3,2,1,3,0,0,1
0,0,1,0,0.022424242,0,0,2,5,1,1,0,0,0
171.25,0,1,0.004545455,0.031907308,0,0,3,2,1,1,0,0,0
0,0,1,0.2,0.2,0,0,1,1,8,1,0,0,0
0,0,1,0,0.022222222,0,0,2,2,1,3,0,0,0
227.3333333,0,1,0,0.002272727,0,0,1,1,1,9,0,1,0
0,0,1,0,0.026666667,0,0,2,2,2,3,0,1,0
0,0,1,0.2,0.2,0,0,3,2,3,1,0,0,0
0,0,1,0.012571429,0.044761905,0,0,2,2,6,1,0,0,0
0,0,1,0,0.05,0,0,3,2,1,3,0,0,0
0,0,1,0,0.1,0,0,3,2,3,1,0,0,0
0,0,1,0,0.1,0,0,2,2,1,3,0,1,0
0,0,1,0,0.1,0,0,2,2,1,1,0,0,0
0,0,1,0.033333333,0.025555556,0,0,3,2,4,11,0,0,0
86,0,1,0,0.016,0,0,1,1,4,9,0,1,0
0,0,1,0.013793103,0.028965517,0,0,2,2,1,13,0,0,0
0,0,1,0,0.066666667,0,0,2,5,1,3,0,1,0
7,0,1,0.05,0.11,0,0,2,2,1,1,0,0,0
0,24,1,0.003703704,0.014814815,0,0,3,2,1,1,0,0,0
186.9761905,40,1,0,0.008681765,0,0,1,1,6,2,0,0,0
138,136,1,0,0.00969697,0,0,1,2,1,2,0,0,0
0,0,1,0,0.1,0,0,4,1,1,1,0,0,0
374,0,1,0,0.025,0,0,2,2,1,8,0,0,0
61,0,1,0,0.04,0,0,2,2,1,1,0,0,0
14,0,1,0,0.01037037,0,0,4,1,1,1,0,0,0
38,0,1,0.022916667,0.038373016,7.103020833,0,3,2,6,1,0,0,1
0,0,1,0,0.04,0,0,2,2,4,1,0,0,0
0,0,1,0,0.02,0,0,2,2,9,2,0,0,0
96,0,1,0.005128205,0.016410256,0,0,2,2,1,2,1,0,0
615.25,0,1,0,0.000175593,0,0,1,2,6,1,0,0,0
111,0,1,0,0.028571429,0,0,2,2,1,1,0,0,0
147,0,1,0,0.05,0,0,2,2,1,2,1,0,0
0,0,1,0.013333333,0.026666667,0,0,1,1,1,1,0,1,0
53.16666667,0,1,0,0.003571429,0,0,3,2,1,9,0,0,0
58,0,1,0,0.011111111,0,0,3,2,8,2,1,0,0
0,0,1,0.2,0.2,0,0,3,2,3,1,0,0,0
48.5,0,1,0,0.002222222,0,0,4,2,1,2,1,0,0
21,116,1,0.008333333,0.023611111,0,0,1,2,1,1,0,0,0
115.3333333,0,1,0.003076923,0.009213675,0,0,2,2,1,1,0,0,0
0,929,1,0.002631579,0.017324561,0,0,2,2,3,1,0,0,0
8,0,1,0,0.019047619,0,0,2,2,3,1,0,0,0
32.28571429,0,1,0,0.028571429,0,0,3,2,1,3,0,0,0
0,0,1,0,0.011904762,0,0,2,2,1,2,0,0,0
0,0,1,0,0.025,0,0,2,2,1,2,0,0,0
11,0,1,0,0.005057471,0,0,3,2,1,2,0,0,0
0,0,1,0,0.014285714,0,0,2,2,1,3,0,0,0
0,0,1,0.2,0.2,0,0,2,2,4,1,0,0,0
0,0,1,0.1,0.125,0,0,1,1,1,3,0,0,0
0,0,1,0.008,0.037333333,0,0,1,1,8,1,0,0,0
0,0,1,0.2,0.2,0,0,2,2,8,1,0,0,0
277.75,0,1,0,0.008,0,0,3,2,3,8,1,0,0
0,0,1,0,0.033333333,0,0,2,2,4,3,0,0,0
241.1666667,0,1,0.005128205,0.021367521,0,0,1,1,1,3,0,0,0
64,0,1,0,0.009876543,0,0,2,10,1,3,1,0,0
25.5,0,1,0,0.016666667,0,0,3,2,2,1,0,1,0
64,0,1,0,0.00625,0,0,2,2,1,1,1,0,0
0,0,1,0.02,0.04,0,0,2,5,7,1,0,0,0
130,18,1,0,0.016666667,19.66818546,0,2,2,3,1,0,1,0
79,155.5,1,0,0.004371585,0,0,2,2,6,2,0,0,0
84,0,1,0,0.011111111,0,0,2,2,2,1,0,0,0
0,9,1,0,0.003333333,9.227000967,0,2,4,1,3,0,0,1
0,0,1,0.2,0.2,0,0,2,2,4,1,0,0,0
0,0,1,0,0.028030303,0,0,2,6,2,2,0,0,0
41,0,1,0,0.005555556,0,0,2,2,1,2,0,0,0
0,0,1,0.2,0.2,0,0,3,2,1,1,0,0,0
0,0,1,0,0.008,0,0,2,2,1,1,0,0,0
0,0,1,0.028571429,0.071428571,0,0,2,2,1,1,0,1,0
14,0,1,0,0.05,0,0,2,4,3,1,0,0,0
86,0,1,0.027083333,0.047905093,0,0,1,1,3,3,0,0,0
0,0,1,0,0.01,0,0,1,1,1,2,0,1,0
618,0,1,0,0.007692308,34.43601877,0,2,2,9,3,1,0,1
0,0,1,0,0.053846154,0,0,2,2,4,3,0,1,0
11.88888889,0,1,9.83E-05,0.009438427,12.01656549,0,3,2,5,2,0,0,0
51.5,0,1,0,0.033333333,0,0,2,5,2,1,0,0,0
7,0,1,0.014814815,0.030452675,0,0,2,4,4,3,0,1,0
269,0,1,0.013888889,0.027742165,0,0,1,1,4,1,0,0,0
0,0,1,0,0.04,0,0,2,2,9,1,0,0,0
44.5,0,1,0,0.00625,0,0,3,2,1,8,1,1,0
3,1165.166667,1,0.008897485,0.029431012,0,0,2,2,3,2,0,0,0
0,0,1,0.066666667,0.1,0,0,2,2,3,1,0,0,0
0,0,1,0.028571429,0.057142857,0,0,3,2,4,1,0,0,0
61,0,1,0,0.010588235,0,0,2,2,5,2,0,0,0
90,0,1,0.005333333,0.033504762,0,0,2,2,1,1,0,1,0
0,0,1,0.0112,0.034933333,0,0,3,2,8,10,0,0,0
102.5,60,1,0,0.014,16.14384,0,1,1,4,2,0,0,1
0,0,1,0,0.1,0,0,1,1,5,3,0,0,0
0,0,1,0.066666667,0.133333333,0,0,2,4,1,3,0,0,0
17,0,1,0.019047619,0.038095238,0,0,1,5,7,1,0,0,0
0,0,1,0.2,0.2,0,0,2,2,2,3,0,0,0
213.3214286,528,1,0.01,0.020655014,2.810812468,0,1,1,4,2,0,0,0
0,0,1,0,0.1,0,0,3,2,4,1,0,0,0
0,0,1,0,0.028571429,0,0,2,2,1,2,0,0,0
0,0,1,0,0.025,0,0,2,2,6,2,0,0,0
0,0,1,0,0.061688312,0,0,3,2,1,6,0,0,0
0,0,1,0.025,0.035,0,0,3,2,2,3,0,0,0
71.5,0,1,0.009929078,0.019797366,27.26888014,0,2,2,1,1,0,0,1
0,0,1,0.057142857,0.085714286,0,0,3,2,8,1,0,0,0
6,0,1,0.028571429,0.02987013,0,0,3,2,3,1,0,1,0
304,0,1,0.015625,0.0515625,0,0,1,1,2,1,0,0,0
0,0,1,0,0.022222222,0,0,1,1,1,3,0,1,0
151,0,1,0.004081633,0.006501458,0,0,1,1,4,2,0,0,0
199.75,0,1,0,0.003333333,0,0,3,2,2,10,1,0,0
13.5,28,1,0.004545455,0.020644542,0,0,2,2,1,2,0,0,0
0,0,1,0.2,0.2,0,0,2,4,1,1,0,0,0
191.2,654.3333333,1,0.000854701,0.013342491,11.92009615,0,2,2,7,2,0,0,1
47,0,1,0,0.016410256,78.93483561,0,3,3,2,1,0,0,1
0,0,1,0,0.026666667,0,0,2,2,1,1,0,0,0
197,246,1,0,0.008695652,0,0,1,1,3,2,1,0,0
115.125,0,1,0.004255319,0.020449173,0,0,2,2,6,1,0,0,0
312.75,0,1,0,0.014259259,0,0,3,2,1,2,1,0,0
0,0,1,0,0.01625,0,0,2,2,9,1,0,0,0
724,0,1,0,0.008,0,0,4,2,1,7,1,0,0
0,0,1,0,0.1,0,0,2,6,1,2,0,0,0
